date-time,atmospheric pressure (mBar),rainfall (mm),wind speed (m/s),wind direction (degrees),surface temperature (C),relative humidity (%),solar flux (Kw/m2),battery (V)
02/10/2015 02:46,1028,0,0,0,10.63,70.8,0,13.77
02/10/2015 02:47,1028,0,0,0,10.61,70.7,0,13.77
02/10/2015 02:48,1028,0,0,0,10.6,70.8,0,13.77
02/10/2015 02:49,1028,0,0,0,10.66,70.7,0,13.76
02/10/2015 02:50,1028,0,0,0,10.7,70.7,0,13.77
02/10/2015 02:51,1028,0,0,0,10.68,70.9,0,13.76
02/10/2015 02:52,1028,0,0,0,10.69,70.7,0,13.76
02/10/2015 02:53,1028,0,0,0,10.68,70.7,0,13.76
02/10/2015 02:54,1028,0,0,0,10.72,70.6,0,13.76
02/10/2015 02:55,1028,0,0,0,10.78,70.5,0,13.76
02/10/2015 02:56,1028,0,0,0,10.77,70.3,0,13.76
02/10/2015 02:57,1028,0,0,0,10.88,70.1,0,13.76
02/10/2015 02:58,1028,0,0,0,10.86,70.1,0,13.76
02/10/2015 02:59,1028,0,0,0,10.93,70,0,13.76
02/10/2015 03:00,1027,0,0,0,10.93,70,0,13.76
02/10/2015 03:01,1027,0,0,0,10.91,70,0,13.76
02/10/2015 03:02,1027,0,0,0,10.91,70.1,0,13.76
02/10/2015 03:03,1027,0,0,0,10.9,70.5,0,13.76
02/10/2015 03:04,1027,0,0,0,10.88,70.7,0,13.76
02/10/2015 03:05,1027,0,0,0,10.93,70.5,0,13.76
02/10/2015 03:06,1027,0,0,0,10.93,70.5,0,13.76
02/10/2015 03:07,1027,0,0,0,11.02,70.3,0,13.76
02/10/2015 03:08,1027,0,0,0,11,70.3,0,13.76
02/10/2015 03:09,1027,0,0,0,10.99,70.5,0,13.76
02/10/2015 03:10,1027,0,0,0,10.99,70.6,0,13.76
02/10/2015 03:11,1027,0,0,0,10.97,70.7,0,13.76
02/10/2015 03:12,1027,0,0,0,11.04,71.1,0,13.76
02/10/2015 03:13,1027,0,0,0,11.08,71.3,0,13.76
02/10/2015 03:14,1027,0,0,0,11.09,71.6,0,13.76
02/10/2015 03:15,1027,0,0,0,11.06,71.9,0,13.76
02/10/2015 03:16,1027,0,0,0,11,72.4,0,13.75
02/10/2015 03:17,1027,0,0,0,10.97,72.7,0,13.76
02/10/2015 03:18,1027,0,0,0,11,73.2,0,13.76
02/10/2015 03:19,1027,0,0,0,11.01,73.3,0,13.76
02/10/2015 03:20,1027,0,0,0,11.01,73.5,0,13.76
02/10/2015 03:21,1027,0,0,0,10.93,73.7,0,13.76
02/10/2015 03:22,1027,0,0,0,10.9,73.8,0,13.76
02/10/2015 03:23,1027,0,0,0,10.95,73.9,0,13.76
02/10/2015 03:24,1027,0,0,0,10.93,73.9,0,13.75
02/10/2015 03:25,1027,0,0,0,10.94,73.9,0,13.76
02/10/2015 03:26,1027,0,0,0,10.96,73.9,0,13.75
02/10/2015 03:27,1027,0,0,0,10.96,73.9,0,13.75
02/10/2015 03:28,1027,0,0,0,10.9,73.9,0,13.76
02/10/2015 03:29,1027,0,0,0,10.86,73.9,0,13.75
02/10/2015 03:30,1027,0,0,0,10.85,74,0,13.75
02/10/2015 03:31,1027,0,0,0,10.89,74,0,13.75
02/10/2015 03:32,1027,0,0,0,10.92,74,0,13.75
02/10/2015 03:33,1027,0,0,0,10.88,74.1,0,13.76
02/10/2015 03:34,1027,0,0,0,10.92,74.2,0,13.75
02/10/2015 03:35,1027,0,0,0,10.93,74.1,0,13.75
02/10/2015 03:36,1027,0,0,0,10.92,74.2,0,13.75
02/10/2015 03:37,1027,0,0,0,10.95,74,0,13.75
02/10/2015 03:38,1027,0,0,0,10.98,74.2,0,13.75
02/10/2015 03:39,1027,0,0,0,10.93,74.4,0,13.75
02/10/2015 03:40,1027,0,0,0,10.93,74.7,0,13.75
02/10/2015 03:41,1027,0,0,0,10.89,75,0,13.75
02/10/2015 03:42,1027,0,0,0,10.84,74.9,0,13.75
02/10/2015 03:43,1027,0,0,0,10.87,74.9,0,13.75
02/10/2015 03:44,1027,0,0,0,10.83,75,0,13.75
02/10/2015 03:45,1027,0,0,0,10.83,74.9,0,13.75
02/10/2015 03:46,1027,0,0,0,10.83,75,0,13.75
02/10/2015 03:47,1027,0,0,0,10.83,75.1,0,13.75
02/10/2015 03:48,1027,0,0,0,10.84,75.2,0,13.75
02/10/2015 03:49,1027,0,0,0,10.84,75.4,0,13.75
02/10/2015 03:50,1027,0,0,0,10.84,75.4,0,13.75
02/10/2015 03:51,1027,0,0,0,10.83,75.5,0,13.75
02/10/2015 03:52,1027,0,0,0,10.84,75.9,0,13.75
02/10/2015 03:53,1027,0,0,0,10.87,76.1,0,13.75
02/10/2015 03:54,1027,0,0,0,10.83,76.2,0,13.75
02/10/2015 03:55,1027,0,0,0,10.8,76.6,0,13.75
02/10/2015 03:56,1027,0,0,0,10.82,76.7,0,13.75
02/10/2015 03:57,1027,0,0,0,10.78,76.8,0,13.75
02/10/2015 03:58,1027,0,0,0,10.74,77.3,0,13.75
02/10/2015 03:59,1027,0,0,0,10.74,77.5,0,13.75
02/10/2015 04:00,1027,0,0,0,10.76,77.6,0,13.75
02/10/2015 04:01,1027,0,0,0,10.78,77.8,0,13.75
02/10/2015 04:02,1027,0,0,0,10.75,78.1,0,13.75
02/10/2015 04:03,1027,0,0,0,10.75,78,0,13.75
02/10/2015 04:04,1027,0,0,0,10.78,78,0,13.75
02/10/2015 04:05,1027,0,0,0,10.77,78,0,13.75
02/10/2015 04:06,1027,0,0,0,10.68,78,0,13.75
02/10/2015 04:07,1027,0,0,0,10.68,78.1,0,13.75
02/10/2015 04:08,1027,0,0,0,10.67,78,0,13.75
02/10/2015 04:09,1027,0,0,0,10.58,78.1,0,13.75
02/10/2015 04:10,1027,0,0,0,10.61,78.1,0,13.75
02/10/2015 04:11,1027,0,0,0,10.61,78,0,13.75
02/10/2015 04:12,1027,0,0,0,10.61,78.1,0,13.75
02/10/2015 04:13,1027,0,0,0,10.58,77.9,0,13.75
02/10/2015 04:14,1027,0,0,0,10.51,78,0,13.75
02/10/2015 04:15,1027,0,0,0,10.5,78.1,0,13.75
02/10/2015 04:16,1027,0,0,0,10.51,78.1,0,13.75
02/10/2015 04:17,1027,0,0,0,10.52,78.1,0,13.75
02/10/2015 04:18,1027,0,0,0,10.51,78.1,0,13.75
02/10/2015 04:19,1027,0,0,0,10.5,78,0,13.75
02/10/2015 04:20,1027,0,0,0,10.52,78.1,0,13.75
02/10/2015 04:21,1027,0,0,0,10.53,78,0,13.75
02/10/2015 04:22,1027,0,0,0,10.47,78,0,13.75
02/10/2015 04:23,1027,0,0,0,10.44,78.2,0,13.75
02/10/2015 04:24,1027,0,0,0,10.47,78.2,0,13.75
